,Similarity,EmojiSequence
0,0.9304755,🥰🌻
1,0.91231656,😘😘♥
2,0.9112698,🥺💖💖💖
3,0.9107846,🌻☀
4,0.9077632,💚😍
5,0.9041998,💖🤗
6,0.904018,🌹💫
7,0.90272033,🖤💜
8,0.90241873,😊💖
9,0.90208507,🥰😘😘😘
10,0.8987806,🌙❤
11,0.89821255,😘🥰❤
12,0.8974658,🎉😊
13,0.895867,🥳🥳🥳❤
14,0.8957479,❤🙏🏻
15,0.8955362,😍😍💕
16,0.8946594,🤗🌷
17,0.8935126,💖🙏
18,0.8898109,🌼🌸
19,0.8896239,🙏🏻💜
20,0.8886774,💋💋💋💋💋💋💋
21,0.88750243,✨🌹
22,0.8873005,😊💞
23,0.8868809,🙏🏼💚
24,0.88674176,🌻✨
25,0.8861636,💐🍀
26,0.8858245,🌺😘
27,0.8858183,❤🎉
28,0.8856944,🎉💐
29,0.88471216,💕🤗
30,0.8844379,👑♥
31,0.8839216,✨🤗
32,0.88380027,💜😘
33,0.8833245,🎊🍾
34,0.88306195,🤍💜
35,0.8829984,🎉🎉🎉❤
36,0.88284624,😃🌞☀
37,0.88268757,💫⭐
38,0.88263965,💖☺
39,0.8822657,💖😊
40,0.881887,👏☺
41,0.8818128,🙏🙏♥
42,0.8816683,😊🙌
43,0.8812001,🙏😊❤
44,0.8810668,🙏🏼😍
45,0.8808783,😘✨
46,0.8806177,😍🙋‍♀
47,0.88056135,🌷🤗
48,0.8794066,✨🌼
49,0.8786017,🌷💗
50,0.8782683,💜🤗
51,0.8773906,🎁🎂🎉
52,0.8764851,🎊🎉🎈
53,0.8764527,💕😊
54,0.8763653,🥰😘❤
55,0.87555027,😍💓
56,0.8752603,🙏😇🙏
57,0.8752373,💕🙏
58,0.87450516,🎂🍾
59,0.8744985,💗☀
60,0.874288,😘💙
61,0.87395823,✨🎉
62,0.8734276,🥂🤗
63,0.87305164,😉💕
64,0.8726629,💙🙌
65,0.87230974,💗🌹
66,0.8722236,🥳💕
67,0.87207556,🎉🎊🎂
68,0.87180865,💙🥳
69,0.87134457,🥺💕💕💕
70,0.87133884,💙🙏🏼
71,0.8712972,😍❤❤
72,0.870919,🎈♥
73,0.87089247,💐💐💐💐
74,0.8697171,🌻❤
75,0.8693327,🎸🎸🎸
76,0.86859906,🎈🎂
77,0.86849475,💞🥰
78,0.86819893,❤💕
79,0.86802214,🌹😍
80,0.8679552,🤗❣
81,0.86795145,🙏✨✨
82,0.8673588,🥰🙏🏻
83,0.8673532,🙏🏻😊
84,0.8670263,🤩😍❤
85,0.86688507,💗😍
86,0.86676204,👍👋
87,0.86672413,💛☀
88,0.86660236,🎂🎂🎂🎂🎂
89,0.86595964,💖😘
90,0.8657787,💚🥰
91,0.86567974,🧡💛
92,0.8655069,💖😍
93,0.86545944,🙏☀
94,0.8653272,❤💞
95,0.8651944,🖤☕
96,0.86515224,🎈❤
97,0.8645225,🙏💗
98,0.8640185,🌞❤
99,0.8635849,🎄💕
100,0.86310756,🎂🙏
101,0.8629099,🌞😃
102,0.86208546,🎂🥳🥳
103,0.8618336,✨☀
104,0.8614018,🕊🙏
105,0.86138976,😊💐
106,0.8609331,💛🧡
107,0.86070913,🌻😊
108,0.8607015,🙏🧡
109,0.8604548,😄☀
110,0.85958105,💞😘
111,0.8594905,💋😘
112,0.85909,💗❤
113,0.85908866,💙😘
114,0.8587476,💘💘💘💘💘💘
115,0.8585736,🤍🥰
116,0.8585689,👀🤍
117,0.858061,🤗😘😘😘
118,0.85805416,🥰💛
119,0.85786724,❤🎄
120,0.85768,❤🙌
121,0.857579,😘💤
122,0.8575108,💓💞
123,0.8572339,🌹🌹🌹❤
124,0.8569969,💖💕
125,0.8567699,😍😘❤
126,0.8563652,🙌🏻✨
127,0.8563304,😊🎄❤
128,0.8563067,🎂🎁🎉
129,0.8561739,🤩😘
130,0.8561629,😃😘
131,0.8560718,🌺🌷
132,0.8558039,💕💞
133,0.8554946,😊🙋‍♀
134,0.8546347,🎉🥰
135,0.8545301,😊💜
136,0.8544923,❤💖
137,0.85414284,😊😊❤
138,0.85402334,🎂🎉🎁
139,0.8538991,🥳💚
140,0.85387886,🥳🥳🥳🥳🥳🥳🥳🥳
141,0.8538252,✨☕
142,0.8537428,🙌❣
143,0.85351086,💕💕💕💕💕💕
144,0.85346127,🙏🏼😘
145,0.8534566,😘😍❤
146,0.85345286,💜♥
147,0.8533561,💫✨
148,0.8533119,🥰💕💕
149,0.8532322,🌹🌹🌹🌹🌹🌹
150,0.85322875,🙂☺
151,0.8531401,❤🤗
152,0.8528999,🙏🖤
153,0.8522441,💛🥺
154,0.851681,🎊🎂
155,0.8516591,👍🍀
156,0.8506311,🥳🥳❤
157,0.85057855,🥰😊
158,0.85020065,💕🙏🏻
159,0.84964144,💤😴
160,0.84957373,😎♥
161,0.8495008,🥰🥰😘
162,0.8494486,😉💜
163,0.84924734,✨🎶
164,0.8491959,💕🥰
165,0.84899986,😍🥰😘
166,0.84896123,🎊🎈
167,0.8489408,🥰🎶
168,0.8482425,❤🥳
169,0.8480855,🙏💖
170,0.8477263,💕🎄
171,0.8475188,🍾🎉
172,0.8473142,🎉🤗
173,0.84701025,💗😊
174,0.8469827,💙💫
175,0.8469465,🎉😘
176,0.846727,🎄🎄☃
177,0.8466891,😍💕💕
178,0.8465549,💞✨
179,0.84597653,🐶💕
180,0.84580445,✨🙏🏻
181,0.8457702,🥳💙
182,0.8457138,🙏🙏🙏❤
183,0.8455717,✨🍀
184,0.8455701,🌈🌈🌈
185,0.8453324,💜💙
186,0.8453219,😍💐
187,0.84507185,🥂✨
188,0.8450444,🥺💖💖
189,0.8449783,✨😘
190,0.8449702,🙏🏻😘
191,0.8445603,🐧🐧
192,0.8441162,🙊❤
193,0.84408,💕💖
194,0.8440748,😍😊
195,0.8436812,🍀🍀🍀🍀🍀
