,Similarity,EmojiSequence
0,0.9288737,🌺💐🙏
1,0.9193867,🌹🌿
2,0.9185496,🥀🌺
3,0.91668725,🌺🌸
4,0.90771794,🌺🌹☕
5,0.90508044,🌿🌹
6,0.90225315,🌺🌹
7,0.9013982,🌞🌅
8,0.894733,🙏💐🌺
9,0.8945339,🌸🌺
10,0.89301,🌸🌺🌸🌺
11,0.8913617,🙏🌹🌹
12,0.8908815,🌹👏🌹
13,0.89043057,🌺💐
14,0.8884458,🙏🚩🇮🇳
15,0.8880168,💐🌿
16,0.887889,🌷🌧
17,0.88755953,🌷🙏
18,0.8874614,🌴🌲
19,0.88720393,🌹🌸
20,0.8871883,🌹🍃
21,0.886904,🤲🏽🙋‍♀
22,0.8857852,🚩🙏🚩
23,0.8853516,🌺🙏
24,0.8819938,🌅🌞
25,0.8798838,🌷🌹
26,0.8797514,🤲💐
27,0.8793471,💛🌿
28,0.87858593,🙏🌹🌄
29,0.87844086,🙏🌿
30,0.87707865,🌼🙏
31,0.87649333,🌹🙏🏻
32,0.87510157,🍃🌼
33,0.8750804,🌧🌷
34,0.875066,💐🌺
35,0.8746263,🙏🏻🚩
36,0.87461835,🕊🙏❤
37,0.87365115,🌹🤲
38,0.87329686,🌸💛
39,0.873228,🌹🌻
40,0.8721025,🤲🌹
41,0.87201333,🙏🌺
42,0.8715081,🌹🙏🌹
43,0.8711569,🌅🙏
44,0.87032115,🙏🏻🌹
45,0.8700556,🙏🌹🙏
46,0.86837816,🙏🕉
47,0.86777693,🌸🌹
48,0.86701137,🤲🏽🙏🙋‍♀
49,0.86404574,😍🙏☕
50,0.8633839,🌸🕊
51,0.86319625,🙏🍎🌸🌺
52,0.8627188,🍁☘
53,0.8617518,🙏🌹☕👈
54,0.8614209,🙏🙏🚩
55,0.86088985,🍃🌸
56,0.8597338,🌸🍃
57,0.85741585,🌺❣
58,0.8570636,🍁❣
59,0.85608155,🌸☘
60,0.8553136,🥀🙏
61,0.85320777,🌲🌴
62,0.8530288,🙏🇮🇳🙏
63,0.85025,🍁🙏
64,0.8500208,🕋🕌
65,0.84927785,🌹🌺
66,0.8492274,🚩🙏
67,0.84766144,🔱🚩
68,0.84702396,🙏🍁
69,0.8460711,🚩🙏🏻
70,0.8434788,🙏🙏🌹
71,0.84270966,👏🚩
72,0.8426167,🙏🚩🚩
73,0.84257495,🌱🌷💕
74,0.8398485,🙏🥀
75,0.83970654,❣🍁
76,0.83772427,🙏☕🪴
77,0.836316,🍃💕
78,0.8355082,🌺🍃
79,0.8341985,💐🙏
80,0.8305439,🌹🌷
81,0.82473975,🙏🌸
82,0.8244896,🌹❣
83,0.8224095,💐☕
84,0.82185197,🤍🌿
85,0.82179666,☕🍁
86,0.82144076,🌺💓
87,0.82064563,🌿🌺
88,0.8200329,🌼🍃
89,0.81902707,📿🚩
90,0.8162473,🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾
91,0.8127191,🔱🏹🚩
92,0.81242675,🤲🏻♥
93,0.80623907,🌺❤
94,0.80554175,🌻🌱
95,0.8020523,🌹🌹🌹🌹🌹🌹🌹🌹
96,0.80176395,🙏🌷
97,0.8016943,🙏💐🙏
98,0.800066,🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾🇱🇾
99,0.7995519,🙏🌺🚩
100,0.79854393,🙏🏼🙏🏼🌹🌹
101,0.7960379,🇶🇦🇶🇦🇶🇦
102,0.7951294,🌺🌺
103,0.7935287,🌼🌼
104,0.79266655,💞💐
105,0.7914338,🇶🇦🇶🇦
106,0.78996766,🇧🇭♥
107,0.7872956,🙏🏻💗🙏🏻
108,0.7836299,🇸🇦💚
109,0.7835139,💖🌷🌹
110,0.7820332,🌺🌺🌺
111,0.7817157,💫🌹
112,0.77874434,🤲🇹🇷☕
113,0.7783969,🇶🇦❤
114,0.7774323,🌷➰
115,0.7770755,🙏🚩
116,0.77704954,🙏💐
117,0.7745259,🤍❣
118,0.77322173,💯☑
119,0.77189773,💕💕💯💯💯
120,0.77038753,🌹🌹🌹🌹
121,0.77025276,🌷🌷🌷
122,0.76783025,🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
123,0.7671317,🤣🖐
124,0.7639552,🇵🇸♥
125,0.7639151,🔱🔱
126,0.76338917,🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
127,0.7608252,🌻🌻
128,0.7605635,‍🔥🇩🇿❤
129,0.75931466,🚆🚉🚄
130,0.7581498,🌹🙏
131,0.7557684,🇵🇸❤
132,0.7543225,🇵🇰♥
133,0.7521344,⬜🙋🏽‍♂
134,0.75157225,🇶🇦🤍
135,0.75071514,🌱🌻
136,0.7466047,🇶🇦♥
137,0.74496394,🇧🇭❤
138,0.7421559,🙏🙋‍♂
139,0.7417592,🚩⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜🚩
140,0.7415214,🌺💚
141,0.74028224,🥀🥀
142,0.73975205,❤🇻🇪
143,0.7393329,🌸❤
144,0.7388445,🌷🌷
145,0.73870456,💯💯💯💯💯💯💯💯
146,0.7384987,⬜🙋🏼‍♂
147,0.732736,⬜💁🏻‍♂
148,0.7326133,🌿🌺😷
