,Similarity,EmojiSequence
0,0.9177825,😌💓
1,0.9152769,👋😃
2,0.91521585,😆💕✨
3,0.9149925,✨😊
4,0.9102205,😆👍
5,0.90895975,😆💕
6,0.90712786,😆✨
7,0.9054676,😅💦
8,0.9013495,🥶💦
9,0.9002011,😁✨
10,0.9000652,😊💕
11,0.899222,🌃✨
12,0.89915335,😌🌃💤
13,0.8985429,😉👍🎶
14,0.89805996,😳✨
15,0.89614403,😊✨
16,0.89060205,👍✨
17,0.89034975,😃🌃
18,0.8793354,😭💦
19,0.87517136,😎✨
20,0.86947,💪✨
21,0.86661893,👏✨
22,0.8502523,🤗✨
23,0.84658337,🙏✨
24,0.8397595,😊✌
25,0.8349141,🐤
26,0.8316828,🙏🏻✨
27,0.82052135,😌✨
28,0.8122375,🤗🍀
29,0.80956733,🙌✨
30,0.7971457,🙇
31,0.7928755,😊👍🏻
32,0.7883985,😊
33,0.7817847,😊👍
34,0.7810367,😉👍
35,0.7714542,😄👍
36,0.76780677,😭✨
37,0.7665488,🍜
38,0.7644269,😸
39,0.76242363,😁👍
40,0.7617102,😊🙏
41,0.75796163,🍛
42,0.7471335,🙇‍♂
43,0.7240154,😃👍
44,0.7154059,🙇‍♀
45,0.7116668,👍😁
46,0.7104418,✨✨
47,0.7045888,😺
48,0.7045853,〰
49,0.6975742,❕
50,0.6924761,☺
51,0.6872258,⤴
52,0.6817291,🙇🏻‍♂
53,0.67467856,✨✨✨
54,0.66832876,💦💦
55,0.66713107,🙋
56,0.6521631,🙆
57,0.6414964,👍😊
58,0.6409903,🤗
59,0.6240635,💧
60,0.6237223,😀👍
61,0.61698914,🐈
62,0.6118065,👍
63,0.59907967,😃
64,0.59532785,🐱
65,0.59245086,✨
66,0.576005,🐶
67,0.5721433,💦
68,0.57157695,🎵
69,0.51874477,🙌
70,0.5027281,💪
71,0.49551696,👍👍
72,0.48526025,💡
73,0.47793037,🤩
74,0.46764216,✊
75,0.46572822,😴
76,0.44570202,👏
77,0.42893758,🌟
78,0.4158011,🎶
79,0.40102953,🤲
80,0.39164203,👏👏
81,0.36669013,👏👏👏
