,Similarity,EmojiSequence
0,0.8625536,🙏
1,0.8455611,🙏🏼🙏🏼
2,0.843397,🙏🙏🙏🙏🙏
3,0.84100723,🌹🙏
4,0.83881617,❤🙏
5,0.8284358,🙏🏻🙏🏻🙏🏻
6,0.825815,🙏🏼🙏🏼🙏🏼
7,0.82290846,🙏😊
8,0.81955206,🌷🌹
9,0.8185462,🌺🙏
10,0.8167417,🙏🌺
11,0.80113304,🙏🏻🙏🏻
12,0.7851924,🙏🙏🙏🙏
13,0.7807353,🙏🏼
14,0.77187896,🙏🏿
15,0.7709062,🙏🏽
16,0.7439407,🙏🚩
17,0.73897195,🚩🙏
18,0.7381169,🙏🏾
19,0.7307402,🙏🌹
20,0.7267112,🙏🏻
21,0.723614,🤲🤲🤲
22,0.71752775,🙏❤
23,0.6876703,🙏🙏🙏
24,0.6795881,🙏🙏
25,0.65727246,🤲🏼
26,0.61919296,🤲🏻
27,0.5040199,🤲
28,0.47002417,🚩
29,0.46262282,🙌
