,Similarity,Emoji Sequence,Target Emoji Sequence
28784,0.99999994,🙌🙃,🙌🙃
6854,0.86349773,❤🎶,🙌🙃
6872,0.859594,🥚🥚🥚,🙌🙃
13799,0.859109,"🤗😍""",🙌🙃
10228,0.85027045,😈🤤,🙌🙃
29015,0.84937936,🔉🔉,🙌🙃
2882,0.84916556,🤙🏻🤙🏻,🙌🙃
4806,0.84867346,😉💜,🙌🙃
6756,0.84836644,😍😍😍😍😍😍😍😍😍😍😍😍😍😍,🙌🙃
47355,0.8479382,🤩💟,🙌🙃
6579,0.84333557,✊💜,🙌🙃
24608,0.8426444,🌳😉,🙌🙃
6815,0.8423742,🥰😘😘😘,🙌🙃
52182,0.84215117,🐶🤍🕊,🙌🙃
21415,0.8421435,😂🛐,🙌🙃
57630,0.8416704,"🥂🎂""",🙌🙃
13660,0.83989555,🤡😆,🙌🙃
11462,0.83910704,🤗✝,🙌🙃
29382,0.8387025,🌄✨,🙌🙃
6260,0.83847487,🥵😈,🙌🙃
7596,1.0,👏⚽,👏⚽
19196,0.9146158,🇪🇬♥,👏⚽
12944,0.9115109,🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳,👏⚽
19749,0.9109734,🇩🇿💪♥,👏⚽
8932,0.9087975,🇵🇸🇩🇿❤,👏⚽
54738,0.9075538,🔥🇩🇿❤,👏⚽
23159,0.9070469,😍🇩🇿❤,👏⚽
10900,0.9069707,🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿❤,👏⚽
7077,0.9063565,🇩🇿🇩🇿🇩🇿🇩🇿❤,👏⚽
5292,0.9062381,🛡⚔,👏⚽
33896,0.9059276,🎅🤶🎅,👏⚽
21255,0.90460306,🐶⛄,👏⚽
21443,0.9040511,💬🎙,👏⚽
49993,0.9039721,🔽▶,👏⚽
3777,0.90315294,🇵🇸♥,👏⚽
22256,0.90274084,👍🏼👏🏼☑,👏⚽
40103,0.90269953,👌🏻⚡,👏⚽
8536,0.9012408,🇪🇬❤,👏⚽
4209,0.8999274,🇵🇸🇩🇿,👏⚽
41284,0.8998163,🤞⛄🤞❄,👏⚽
7154,1.0,🇵🇹🇵🇹🇵🇹,🇵🇹🇵🇹🇵🇹
7415,0.9276251,🤏🏼🥺,🇵🇹🇵🇹🇵🇹
13348,0.92711234,👊🏻👊🏻👊🏻👊🏻,🇵🇹🇵🇹🇵🇹
53446,0.92467713,😭😭😭😂😭😭,🇵🇹🇵🇹🇵🇹
56172,0.9242429,🕰🕰🕰,🇵🇹🇵🇹🇵🇹
10181,0.92156076,😍💕💕💕,🇵🇹🇵🇹🇵🇹
11376,0.9195631,🤍😌,🇵🇹🇵🇹🇵🇹
42176,0.9194676,🥺🥺🖤🖤,🇵🇹🇵🇹🇵🇹
15087,0.91919774,🥺🥺🥺💖,🇵🇹🇵🇹🇵🇹
4548,0.9190546,🤏🏻🤏🏻,🇵🇹🇵🇹🇵🇹
54294,0.91893196,🌷🐦🌷❤,🇵🇹🇵🇹🇵🇹
52304,0.91863424,🥀💯,🇵🇹🇵🇹🇵🇹
56647,0.9183449,📢🛍,🇵🇹🇵🇹🇵🇹
40164,0.91819406,"🤞✨""",🇵🇹🇵🇹🇵🇹
14346,0.91785836,🕺🏾🕺🏾,🇵🇹🇵🇹🇵🇹
44203,0.91736555,🍫🍓,🇵🇹🇵🇹🇵🇹
58907,0.9172356,"🙏🏽👏🏽""",🇵🇹🇵🇹🇵🇹
25744,0.9167854,💪🦅,🇵🇹🇵🇹🇵🇹
50838,0.91671264,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,🇵🇹🇵🇹🇵🇹
25134,0.91660976,"😭🧡""",🇵🇹🇵🇹🇵🇹
58149,0.9999999,🎂🍾🌲,🎂🍾🌲
55196,0.9063519,🇹🇷😎🇹🇷,🎂🍾🌲
47916,0.90516376,🌧☕☔,🎂🍾🌲
55101,0.9049112,🖤💋🔥,🎂🍾🌲
17690,0.9037023,🥀🔥,🎂🍾🌲
11105,0.9035705,🦩🦩🦩,🎂🍾🌲
43204,0.90269417,🐼🖤,🎂🍾🌲
12892,0.9013529,🙌💞,🎂🍾🌲
12237,0.901183,👀💡,🎂🍾🌲
34915,0.90083385,❤‍🔥❤‍🔥,🎂🍾🌲
43504,0.9008156,👍👌✌,🎂🍾🌲
43045,0.90002054,🌕🌑,🎂🍾🌲
60120,0.89999896,😭😭😭😭😭😭💕💕💕💕💕💕,🎂🍾🌲
56337,0.89886004,🟡🟡🟡🟢🟢,🎂🍾🌲
9971,0.89866126,"""💥💥💥",🎂🍾🌲
20814,0.89816415,🍙✨,🎂🍾🌲
55802,0.89769083,⛰🌿,🎂🍾🌲
24190,0.89761466,🔉🔊,🎂🍾🌲
15719,0.8970792,🤕🥺,🎂🍾🌲
51354,0.89684975,🎄🇩🇰,🎂🍾🌲
40256,0.9999999,💪🏼🤜🏼🤛🏼,💪🏼🤜🏼🤛🏼
10520,0.850807,😘🎉,💪🏼🤜🏼🤛🏼
7270,0.8462108,👍🥳,💪🏼🤜🏼🤛🏼
5658,0.8434158,🙏👊,💪🏼🤜🏼🤛🏼
12805,0.8396267,"🍀🙏""",💪🏼🤜🏼🤛🏼
4103,0.8388014,🙏🏻😘,💪🏼🤜🏼🤛🏼
18171,0.8373807,🥳🍰,💪🏼🤜🏼🤛🏼
54713,0.83621085,🥳🎂🥳🎂,💪🏼🤜🏼🤛🏼
54832,0.83568645,🤩💫👏,💪🏼🤜🏼🤛🏼
10359,0.8353631,🥰❤❤❤❤,💪🏼🤜🏼🤛🏼
3558,0.8336736,👍👊,💪🏼🤜🏼🤛🏼
28752,0.8323683,❣🎄,💪🏼🤜🏼🤛🏼
8853,0.8302721,"👍😃""",💪🏼🤜🏼🤛🏼
33286,0.8301598,🙏🏼✊🏼,💪🏼🤜🏼🤛🏼
45387,0.82916695,⛷🇨🇭,💪🏼🤜🏼🤛🏼
43082,0.8268557,🤗🍀💝😘,💪🏼🤜🏼🤛🏼
7375,0.82672304,❤🐾,💪🏼🤜🏼🤛🏼
52380,0.82642734,😃📣🎶,💪🏼🤜🏼🤛🏼
6287,0.82583445,😀🤗,💪🏼🤜🏼🤛🏼
4499,0.8258063,💘🥺,💪🏼🤜🏼🤛🏼
7226,0.9999999,😐👍,😐👍
22120,0.9405192,👍🏻🇧🇷,😐👍
10298,0.9404463,🤞🤞🤞🤞🤞🤞🤞🤞,😐👍
43835,0.9399761,👗👑,😐👍
24365,0.93877715,😋😝,😐👍
7793,0.9365395,🥳✌,😐👍
5791,0.93653417,☹💔,😐👍
31484,0.9364761,👏👏👏🙌🙌,😐👍
7677,0.93618983,🚩🙏🚩,😐👍
34767,0.9359812,🤗😘💕😘💕,😐👍
12182,0.93434656,🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,😐👍
56700,0.9339412,🦁🤟😍,😐👍
6502,0.932575,🍆🍆🍆🍆,😐👍
6089,0.9324235,🤍🥲,😐👍
