,Similarity,Emoji Sequence,Target Emoji Sequence
28784,1.0,🙌🙃,🙌🙃
29581,0.93457067,"✨🙌""",🙌🙃
54220,0.9252157,😳🛐,🙌🙃
38791,0.91949207,🤗👏🏼,🙌🙃
25509,0.91867614,"😍🙌""",🙌🙃
34494,0.9179184,"🎪🤡""",🙌🙃
16782,0.91769564,🥰🤣🤣🤣,🙌🙃
38223,0.917657,"🕊🕊🕊🕊""",🙌🙃
50823,0.91734,😭🤞🙏,🙌🙃
29776,0.9170816,✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨,🙌🙃
50239,0.9161407,"🥺💖💖💖""",🙌🙃
32782,0.91482306,"🙈🙉""",🙌🙃
38669,0.9144866,😌🎁,🙌🙃
13325,0.91376436,😼💜,🙌🙃
15224,0.9133539,😅☝,🙌🙃
28017,0.9127907,🙃☕,🙌🙃
58863,0.912265,"💙🌺""",🙌🙃
23296,0.9118599,🎶💎,🙌🙃
10527,0.91163635,🦌🦌🦌,🙌🙃
15181,0.91142255,👍💪👏,🙌🙃
7596,1.0000001,👏⚽,👏⚽
8795,0.85793734,🏆😍,👏⚽
15439,0.8419716,👏🏼👍🏼,👏⚽
8635,0.8368652,💙👏,👏⚽
10086,0.83615464,😎⚽,👏⚽
6610,0.8245517,👏🏻💪🏻,👏⚽
3384,0.817041,💪⚽,👏⚽
11801,0.81249624,🏆🏅,👏⚽
13059,0.8080344,🎧🎙,👏⚽
8262,0.80769074,💚🇳🇬,👏⚽
10040,0.8067969,💪🏻💙,👏⚽
21088,0.80544084,‍🔥👑,👏⚽
14782,0.8047258,🍺⚽,👏⚽
36636,0.80294025,🇲🇽🇲🇽,👏⚽
33469,0.8010576,🚂❤,👏⚽
6659,0.8000349,👏🏼❤,👏⚽
17552,0.79931617,👍🏆,👏⚽
30485,0.7975503,✅🔝,👏⚽
38014,0.79715616,🎄🎅🏼🤶🏼,👏⚽
6412,0.7962575,💪🏻👏🏻,👏⚽
7154,1.0000001,🇵🇹🇵🇹🇵🇹,🇵🇹🇵🇹🇵🇹
14152,0.88110936,🥳🚀,🇵🇹🇵🇹🇵🇹
35242,0.8769244,"🚀✨""",🇵🇹🇵🇹🇵🇹
49010,0.87671566,"🐳🐳🐳""",🇵🇹🇵🇹🇵🇹
21160,0.8757349,😈💪,🇵🇹🇵🇹🇵🇹
24233,0.8723286,😭🥀,🇵🇹🇵🇹🇵🇹
35511,0.8684938,👏😻,🇵🇹🇵🇹🇵🇹
26646,0.8681857,😭😭🤣😂,🇵🇹🇵🇹🇵🇹
11826,0.86787814,💖💖💖💖💖💖💖💖💖💖💖,🇵🇹🇵🇹🇵🇹
23847,0.8645726,🤗🥰❤,🇵🇹🇵🇹🇵🇹
30366,0.86187595,🔥📍,🇵🇹🇵🇹🇵🇹
41747,0.8612742,✌🏾🙏🏾,🇵🇹🇵🇹🇵🇹
19598,0.85959643,😋😈,🇵🇹🇵🇹🇵🇹
18358,0.85957927,💕🙏🏽,🇵🇹🇵🇹🇵🇹
59506,0.8594069,🔥🙏❤,🇵🇹🇵🇹🇵🇹
16473,0.8579597,💰💰💰💰💰💰💰💰,🇵🇹🇵🇹🇵🇹
52344,0.8577258,😍😤,🇵🇹🇵🇹🇵🇹
19741,0.85621345,🐷💚,🇵🇹🇵🇹🇵🇹
19839,0.8559881,😭😭😭😭😭♥,🇵🇹🇵🇹🇵🇹
19098,0.8552118,🗣😂,🇵🇹🇵🇹🇵🇹
58149,0.99999994,🎂🍾🌲,🎂🍾🌲
48250,0.93905276,🌼🌺🌼,🎂🍾🌲
28528,0.9382818,🤣🤣🤣🤣🤣🤣😭😭😭😭😭,🎂🍾🌲
46807,0.93355066,💪🤗🤗🤗,🎂🍾🌲
28314,0.9334601,👈👈👈👈👈👈❤,🎂🍾🌲
57422,0.9321339,💪🥺💪,🎂🍾🌲
34868,0.92984235,👌🏼🤩,🎂🍾🌲
42002,0.9284709,🌹🥰☕,🎂🍾🌲
33186,0.9284356,👅🥒💦,🎂🍾🌲
56579,0.92670226,💛💥,🎂🍾🌲
59263,0.9266902,🙌🏻🙈,🎂🍾🌲
44991,0.9259298,🤎🥰,🎂🍾🌲
55953,0.9244693,🌠💫,🎂🍾🌲
47357,0.9241052,💗🙇🏼‍♀,🎂🍾🌲
41105,0.9239085,🥚🥚🍚,🎂🍾🌲
50253,0.92390186,🧸🐻‍❄,🎂🍾🌲
49648,0.92364776,🦍💯,🎂🍾🌲
59164,0.9235803,🌏👇,🎂🍾🌲
42736,0.92355776,🍲‼,🎂🍾🌲
